BLOCK,TREES NAME,SCIENTIFIC NAME,COUNT,CATEGORY
PARKING,COCONUT,UNKNOWN,2,Fruit
PARKING,SAPOTA,UNKNOWN,1,Other
PARKING,CUSTARD APPLE,UNKNOWN,1,Other
PARKING,GOLDEN BAMBOO,UNKNOWN,28,Ornamental
ST MICHAELS,BAMBOO,UNKNOWN,4,Ornamental
ST MICHAELS,PALM,UNKNOWN,7,Ornamental
ST MICHAELS,SACRED FIG,UNKNOWN,2,Fruit
ST MICHAELS,ASHOK,UNKNOWN,17,Shade
ST MICHAELS,ASIAN BULLET WOOD,UNKNOWN,7,Shade
ST MICHAELS,YELLOW ELDER,UNKNOWN,2,Other
ST MICHAELS,COCONUT,UNKNOWN,5,Fruit
ST MICHAELS,NEEM,UNKNOWN,12,Medicinal
ST MICHAELS,FOX TAIL PALM,UNKNOWN,17,Ornamental
ST MICHAELS,BOTTLE PALM,UNKNOWN,9,Ornamental
ST MICHAELS,ALEXANDRIAN LAUREL,UNKNOWN,8,Other
ST MICHAELS,TECTONA,UNKNOWN,20,Other
ST MICHAELS,BANANA,UNKNOWN,5,Fruit
ST MICHAELS,INDIAN BEECH,UNKNOWN,6,Shade
ST MICHAELS,ALMOND,UNKNOWN,7,Fruit
ST MICHAELS,ROYAL PALM,UNKNOWN,17,Ornamental
ST MICHAELS,PAPAYA,UNKNOWN,5,Fruit
ST MICHAELS,PINE,UNKNOWN,2,Other
ST MICHAELS,SAPOTA,UNKNOWN,2,Other
ST MICHAELS,MONKEY POD,UNKNOWN,1,Shade
ST PATRICK'S,TAMARIND,UNKNOWN,4,Fruit
ST PATRICK'S,BAMBOO,UNKNOWN,19,Ornamental
ST PATRICK'S,NEEM,UNKNOWN,16,Medicinal
ST PATRICK'S,PORTIA,UNKNOWN,1,Other
ST PATRICK'S,ASIAN BULLET WOOD,UNKNOWN,16,Shade
ST PATRICK'S,ALMOND,UNKNOWN,5,Fruit
ST PATRICK'S,TECTONA,UNKNOWN,3,Other
